"","OPEID6","INSTNM","STATE","CONTROL","NOTWORKING","WORKING","MEAN_EARNINGS","MEDIAN_EARNINGS","PERCENT10_EARNINGS","PERCENT25_EARNINGS","PERCENT75_EARNINGS","PERCENT90_EARNINGS","MEDIAN_DEBT","NUM_DEBT","TUITION","DEFAULT2","YEAR"
"51",1081,"Arizona State University-Tempe","AZ",1,1063,8410,56700,49400,13900,31500,72100,99900,9064,17516,NA,0.036,2007
"52",1071,"Arizona Western College","AZ",1,203,1351,32500,28700,6700,15200,44300,62600,3500,674,NA,0.129,2007
"53",1083,"University of Arizona","AZ",1,613,5348,55100,47100,13200,29700,70600,101500,9500.5,8252,NA,0.023,2007
"54",24915,"Southwest University of Visual Arts-Tucson","AZ",3,72,345,29100,28700,5400,14200,40300,53600,12750,363,NA,0.036,2007
"55",7283,"Central Arizona College","AZ",1,136,648,34900,31500,6200,17300,46300,64500,3500,717,NA,0.141,2007
"56",9451,"Brown Mackie College-Tucson","AZ",3,111,517,28100,26200,3600,13300,38300,50700,2501,631,NA,0.098,2007
"57",1072,"Cochise County Community College District","AZ",1,326,1237,36300,31700,5100,15900,49000,74200,3331.5,748,NA,0.112,2007
"58",25827,"Cortiva Institute-Tucson","AZ",3,34,128,31800,25100,4200,10400,44200,66000,5521,171,NA,0.045,2007
"59",10727,"DeVry University-Arizona","AZ",3,1416,13591,52600,48700,13600,29600,71100,91900,6625,54203,NA,0.073,2007
"60",10858,"Avalon School of Cosmetology-Mesa","AZ",3,38,107,23700,19500,2900,8100,36300,49400,5347,235,NA,0.04,2007
"61",1479,"Embry-Riddle Aeronautical University-Prescott","AZ",2,169,2934,63200,58800,21800,37800,80800,107100,5406,4908,NA,0.029,2007
"62",1076,"Glendale Community College","AZ",1,495,2648,39700,36000,7000,19800,53900,75200,3312,3033,NA,0.093,2007
"63",1074,"Grand Canyon University","AZ",3,72,505,55100,46400,11300,28900,75100,102700,5500,3849,NA,0.016,2007
"64",22631,"Anthem College","AZ",3,390,2389,38300,36300,6700,19100,52500,70000,7500,10354,NA,0.082,2007
"65",25215,"Lamson College","AZ",3,32,211,39900,37100,10000,22600,53900,69700,6625,847,NA,0.116,2007
"66",20712,"Kaplan College","AZ",3,87,364,31700,30400,8000,17600,41100,54500,6625,525,NA,0.135,2007
"67",8303,"GateWay Community College","AZ",1,204,777,38900,34500,6000,14700,55700,77400,4000,2007,NA,0.1,2007
"68",1077,"Mesa Community College","AZ",1,657,3341,43700,39200,7300,20300,59300,81900,3605.5,5716,NA,0.111,2007
"69",23611,"ITT Technical Institute-Tucson","AZ",3,98,596,42600,39400,9200,22300,58400,76400,6625,1189,NA,0.097,2007
"70",20652,"ITT Technical Institute-Tempe","AZ",3,56,385,48700,47100,9300,26900,65900,84400,5614,2142,NA,0.104,2007
