"","OPEID6","INSTNM","STATE","CONTROL","NOTWORKING","WORKING","MEAN_EARNINGS","MEDIAN_EARNINGS","PERCENT10_EARNINGS","PERCENT25_EARNINGS","PERCENT75_EARNINGS","PERCENT90_EARNINGS","MEDIAN_DEBT","NUM_DEBT","TUITION","DEFAULT2","YEAR"
"4179",25027,"Advanced Career Training-Jacksonville Campus","FL",3,241,1405,26700,24600,4500,13000,37000,51100,6625,1904,NA,0.199,2007
"4180",1866,"Graceland University - Independence","MO",2,48,567,43900,38900,11900,25100,55400,78000,11000,864,NA,0.055,2007
"4181",1903,"Baker University School of Nursing","KS",2,49,670,57600,52700,15900,35900,72900,97800,11625,1337,NA,0.014,2007
"4182",1903,"Baker University School of Professional and Graduate Studies and Graduate School of Education","KS",2,49,670,57600,52700,15900,35900,72900,97800,11625,1337,NA,0.014,2007
"4183",1910,"Coffeyville Community College and Area Technical School","KS",1,55,379,40100,29900,3800,14600,45800,63700,3500,523,NA,0.084,2007
"4184",23372,"PJ's College of Cosmetology- Greenfield","IN",3,50,175,17700,14600,1600,7100,26500,34600,6625,340,NA,0.074,2007
"4185",23372,"PJ's College of Cosmetology- Muncie","IN",3,50,175,17700,14600,1600,7100,26500,34600,6625,340,NA,0.074,2007
"4186",23372,"PJ's College of Cosmetology- Indianapolis","IN",3,50,175,17700,14600,1600,7100,26500,34600,6625,340,NA,0.074,2007
"4187",23372,"PJ's College of Cosmetology- Plainfield","IN",3,50,175,17700,14600,1600,7100,26500,34600,6625,340,NA,0.074,2007
"4188",9459,"Pierres School of Cosmetology","ME",3,67,196,18000,14900,1800,7800,28100,35700,4958,487,NA,0.048,2007
"4189",9459,"Empire Beauty School-Caribou","ME",3,67,196,18000,14900,1800,7800,28100,35700,4958,487,NA,0.048,2007
"4190",9459,"Empire Beauty School-Bangor","ME",3,67,196,18000,14900,1800,7800,28100,35700,4958,487,NA,0.048,2007
"4191",9459,"Pierres School of Cosmetology","ME",3,67,196,18000,14900,1800,7800,28100,35700,4958,487,NA,0.048,2007
"4192",2160,"The Art Institute of Boston at Lesley University","MA",2,70,450,46600,44100,9900,25800,58300,83500,8125,1159,NA,0.005,2007
"4193",2246,"Cleary University","MI",2,45,317,61700,55100,13700,30600,86600,114700,8500,465,NA,0.027,2007
"4194",2249,"Davenport University-South Bend Location","IN",2,796,4487,34400,31100,6100,16100,46800,65300,6625,8931,NA,0.062,2007
"4195",2249,"Davenport University-Merrillville Location","IN",2,796,4487,34400,31100,6100,16100,46800,65300,6625,8931,NA,0.062,2007
"4196",2249,"Davenport University-Warren Location","MI",2,796,4487,34400,31100,6100,16100,46800,65300,6625,8931,NA,0.062,2007
"4197",2249,"Davenport University-Kalamazoo Location","MI",2,796,4487,34400,31100,6100,16100,46800,65300,6625,8931,NA,0.062,2007
"4198",2249,"Davenport University-Lansing Location","MI",2,796,4487,34400,31100,6100,16100,46800,65300,6625,8931,NA,0.062,2007
"4199",2249,"Davenport University-Dearborn Location","MI",2,796,4487,34400,31100,6100,16100,46800,65300,6625,8931,NA,0.062,2007
"4200",2249,"Davenport University-Midland Location","MI",2,796,4487,34400,31100,6100,16100,46800,65300,6625,8931,NA,0.062,2007
"4201",2249,"Davenport University-Fulton Street Location","MI",2,796,4487,34400,31100,6100,16100,46800,65300,6625,8931,NA,0.062,2007
"4202",2249,"Davenport University-Holland Location","MI",2,796,4487,34400,31100,6100,16100,46800,65300,6625,8931,NA,0.062,2007
"4203",2249,"Davenport University-Flint Location","MI",2,796,4487,34400,31100,6100,16100,46800,65300,6625,8931,NA,0.062,2007
"4204",2249,"Davenport University-Caro Location","MI",2,796,4487,34400,31100,6100,16100,46800,65300,6625,8931,NA,0.062,2007
"4205",2249,"Davenport University-Traverse City Location","MI",2,796,4487,34400,31100,6100,16100,46800,65300,6625,8931,NA,0.062,2007
"4206",2249,"Davenport University-Alma Location","MI",2,796,4487,34400,31100,6100,16100,46800,65300,6625,8931,NA,0.062,2007
"4207",2249,"Davenport University-Bad Axe Location","MI",2,796,4487,34400,31100,6100,16100,46800,65300,6625,8931,NA,0.062,2007
"4208",2249,"Davenport University-Saginaw Location","MI",2,796,4487,34400,31100,6100,16100,46800,65300,6625,8931,NA,0.062,2007
"4209",2249,"Davenport University-Battle Creek Location","MI",2,796,4487,34400,31100,6100,16100,46800,65300,6625,8931,NA,0.062,2007
"4210",2249,"Davenport University-Bay City Location","MI",2,796,4487,34400,31100,6100,16100,46800,65300,6625,8931,NA,0.062,2007
"4211",2332,"Anoka-Ramsey Community College-Cambridge Campus","MN",1,148,1332,41000,37900,9300,22800,55200,73200,3500,2935,NA,0.027,2007
"4212",2339,"Central Lakes College-Staples Campus","MN",1,161,1264,35300,32400,7800,17900,47800,64500,3562,1659,NA,0.053,2007
"4213",5541,"M State - Detroit Lakes Campus","MN",1,391,2947,34500,31600,7500,18100,46500,63300,4000,4121,NA,0.054,2007
"4214",5541,"M State - Moorhead Campus","MN",1,391,2947,34500,31600,7500,18100,46500,63300,4000,4121,NA,0.054,2007
"4215",5541,"M State - Wadena Campus","MN",1,391,2947,34500,31600,7500,18100,46500,63300,4000,4121,NA,0.054,2007
"4216",5537,"South Central  College-Faribault","MN",1,96,1098,35500,33200,10000,20600,47300,62500,4000,1610,NA,0.063,2007
"4217",4009,"Mesabi Range College","MN",1,22,124,28600,27900,3400,10700,40900,55600,5225,795,NA,0.108,2007
"4218",5541,"Northland Community and Technical College - East Grand Forks","MN",1,391,2947,34500,31600,7500,18100,46500,63300,4000,4121,NA,0.054,2007
"4219",5252,"Ridgewater College","MN",1,140,1660,36300,34700,8600,20100,48700,64000,4375,2411,NA,0.035,2007
"4220",2393,"Minnesota State College-SE Technical-Red Wing","MN",1,100,777,35000,34600,7000,18800,47400,60100,3500,1343,NA,0.054,2007
"4221",2430,"Pearl River Community College-Forrest County Center","MS",1,226,1139,33200,29400,5300,14800,44400,65400,2926,1301,NA,0.089,2007
"4222",21802,"Metro Business College","MO",3,53,272,24100,23200,4800,13100,31800,42600,6125,637,NA,0.098,2007
"4223",21802,"Metro Business College","MO",3,53,272,24100,23200,4800,13100,31800,42600,6125,637,NA,0.098,2007
"4224",2657,"New Mexico State University-Dona Ana","NM",1,598,4471,42000,38200,9500,21800,55800,79000,5251,7584,NA,0.041,2007
"4225",7394,"Berkeley College - Westchester Campus","NY",3,168,1244,46100,42700,9900,25700,60200,81500,5250,2281,NA,0.075,2007
"4226",7304,"Culinary Institute of America at Greystone","CA",2,182,1585,49900,46000,12100,28700,63700,86600,7125,2191,NA,0.018,2007
"4227",2798,"Pratt Manhattan-A Division of Pratt Institute","NY",2,117,763,47600,43600,8900,22800,64900,91300,14500,1312,NA,0.022,2007
"4228",10923,"Los Angeles Center","CA",2,64,426,62600,51600,13200,30600,92600,120900,12649,1211,NA,0.017,2007
"4229",10923,"Florida Center","FL",2,64,426,62600,51600,13200,30600,92600,120900,12649,1211,NA,0.017,2007
"4230",10923,"Sacramento Center","CA",2,64,426,62600,51600,13200,30600,92600,120900,12649,1211,NA,0.017,2007
"4231",10923,"Montpelier Center - Closed July 2013","VT",2,64,426,62600,51600,13200,30600,92600,120900,12649,1211,NA,0.017,2007
"4232",10923,"Union Institute & University","VT",2,64,426,62600,51600,13200,30600,92600,120900,12649,1211,NA,0.017,2007
"4233",3239,"Bucks County Community College-Upper Bucks Campus","PA",1,113,824,43100,39500,7200,21900,57500,81000,3387.5,1492,NA,0.062,2007
"4234",20925,"Business Institute of Pennsylvania","PA",3,45,219,22600,22500,4000,11000,29400,40300,7449.5,190,NA,0.113,2007
"4235",13263,"South Hills School of Business and Technology-Altoona","PA",3,58,300,30500,28300,8600,18200,38800,53700,9624,667,NA,0.079,2007
"4236",3609,"San Jacinto College-North Campus","TX",1,309,2013,41500,37500,8300,19800,54800,77200,3313,2227,NA,0.144,2007
"4237",3609,"San Jacinto College-South Campus","TX",1,309,2013,41500,37500,8300,19800,54800,77200,3313,2227,NA,0.144,2007
"4238",22183,"Southwest School of Business and Technical Careers-South Texas","TX",3,68,302,21300,18900,4300,11400,28400,36700,4393,251,NA,0,2007
"4239",3679,"Snow College-Richfield Campus","UT",1,263,845,37600,34000,4100,15200,50600,69600,2625,923,NA,0.044,2007
"4240",3800,"Washington State University-Vancouver","WA",1,451,4392,53900,49100,13800,31500,69900,94100,11000,8731,NA,0.02,2007
"4241",3800,"Washington State University-Spokane","WA",1,451,4392,53900,49100,13800,31500,69900,94100,11000,8731,NA,0.02,2007
"4242",3800,"Washington State University-Tri Cities","WA",1,451,4392,53900,49100,13800,31500,69900,94100,11000,8731,NA,0.02,2007
"4243",10861,"West Virginia Business College-Nutter Fort","WV",3,58,221,20800,18100,3000,8800,27800,39000,7384,201,NA,0.177,2007
"4244",3946,"University of the Virgin Islands-Albert A. Sheen","VI",1,44,397,40500,37200,15100,25200,49000,67500,3500,485,NA,0.017,2007
"4245",30425,"Apollo College-Spokane","WA",3,75,334,28600,28900,4600,14900,39300,48000,6625,2121,NA,0.079,2007
"4246",25812,"CC's Cosmetology College","OK",3,62,168,18300,15300,2500,8300,25800,36200,6625,200,NA,0.142,2007
"4247",22246,"Tri-State Cosmetology Institute 2","TX",3,33,126,18900,16100,3500,9500,25100,38000,1750,294,NA,0.135,2007
"4248",25909,"Wright Career College - Oklahoma City  OK","OK",2,273,932,21800,19200,2600,9100,30300,41700,6625,1899,NA,0.1,2007
"4249",25909,"Wright Career College - Tulsa  OK","OK",2,273,932,21800,19200,2600,9100,30300,41700,6625,1899,NA,0.1,2007
"4250",25476,"Florida National University-South Campus","FL",3,266,1139,30800,25700,6200,13700,41600,59400,8500,1444,NA,0.141,2007
"4251",25476,"Florida National University Training Center","FL",3,266,1139,30800,25700,6200,13700,41600,59400,8500,1444,NA,0.141,2007
"4252",4898,"McCann School of Business & Technology","PA",3,42,239,27000,26200,4400,14300,36600,49500,4425,2157,NA,0.11,2007
"4253",4898,"McCann School of Business & Technology","PA",3,42,239,27000,26200,4400,14300,36600,49500,4425,2157,NA,0.11,2007
"4254",4898,"McCann School of Business & Technology","PA",3,42,239,27000,26200,4400,14300,36600,49500,4425,2157,NA,0.11,2007
"4255",25681,"Texas Barber Colleges and Hairstyling Schools Branch Campus #1","TX",3,76,178,22400,17500,2100,8900,34500,47200,6625,1139,NA,0.117,2007
"4256",25681,"Texas Barber Colleges and Hairstyling Schools Branch Campus #2","TX",3,76,178,22400,17500,2100,8900,34500,47200,6625,1139,NA,0.117,2007
"4257",25681,"Texas Barber Colleges and Hairstyling Schools Branch Campus #6","TX",3,76,178,22400,17500,2100,8900,34500,47200,6625,1139,NA,0.117,2007
"4258",25681,"Texas Barber Colleges and Hairstyling Schools Branch Campus #5","TX",3,76,178,22400,17500,2100,8900,34500,47200,6625,1139,NA,0.117,2007
"4259",25681,"Texas Barber Colleges and Hairstyling Schools Branch Campus #7","TX",3,76,178,22400,17500,2100,8900,34500,47200,6625,1139,NA,0.117,2007
"4260",1002,"Alabama A & M University","AL",1,202,1410,36600,32600,7200,18100,48600,67500,10500,2546,13242,0.108,2009
"4261",1052,"University of Alabama at Birmingham","AL",1,325,2381,48500,42800,11400,25800,60100,85600,9000,4832,16955,0.034,2009
"4262",25034,"Amridge University","AL",2,22,107,42800,39000,7900,22100,57900,75200,9600.5,358,20100,0.064,2009
"4263",1055,"University of Alabama in Huntsville","AL",1,139,1115,51900,48300,12300,27800,71200,92900,9125,2380,16876,0.04,2009
"4264",1005,"Alabama State University","AL",1,308,1654,30700,27600,6900,15500,41300,56200,8403.5,3682,14000,0.158,2009
"4265",1051,"The University of Alabama","AL",1,380,3332,48300,43100,12700,27800,61500,86900,11875,7100,20496,0.033,2009
"4266",1007,"Central Alabama Community College","AL",1,127,543,31000,28000,5600,15700,41600,59100,5500,1036,6658,0.213,2009
"4267",1008,"Athens State University","AL",1,106,806,43300,42100,12800,28500,52200,74500,9968,1661,NA,0.023,2009
"4268",8310,"Auburn University at Montgomery","AL",1,180,1242,38600,36100,7900,20800,50200,70600,7209.5,2572,13372,0.088,2009
"4269",1009,"Auburn University","AL",1,389,4043,53600,47700,14500,32000,68300,93100,11000,5519,17966,0.042,2009
"4270",1012,"Birmingham Southern College","AL",2,26,287,55700,46800,9900,29100,70500,100700,11625,403,36504,0.055,2009
"4271",12182,"Chattahoochee Valley Community College","AL",1,150,673,32000,29900,8400,15700,42400,56800,3500,613,5300,0.156,2009
"4272",10554,"Concordia College Alabama","AL",2,64,315,26300,23400,7800,14100,35600,48500,3500,411,12285,0,2009
"4273",13039,"South University-Montgomery","AL",3,208,984,37200,31200,6300,15300,49800,70500,6334,23682,25633,0.079,2009
"4274",1015,"Enterprise State Community College","AL",1,136,653,30700,27200,6500,15500,41700,60400,3500,721,9497,0.098,2009
"4275",1060,"James H Faulkner State Community College","AL",1,174,806,30900,27000,4900,13700,42300,59300,3500,1856,7865,0.117,2009
"4276",1003,"Faulkner University","AL",2,186,1309,44500,39400,10100,24700,59400,81200,10500,2448,22955,0.076,2009
"4277",7871,"George C Wallace State Community College-Hanceville","AL",1,320,1284,32000,28200,5500,15500,43800,60300,4000,2842,9610,0.186,2009
"4278",10193,"Herzing University-Birmingham","AL",3,83,406,40300,35400,7300,19900,54900,77800,12271.5,622,20732,0.114,2009
"4279",1019,"Huntingdon College","AL",2,25,185,43700,39100,10900,24200,52700,88100,10000,588,28842,0.074,2009
"4280",1020,"Jacksonville State University","AL",1,318,1968,39700,38000,8700,22000,50500,67800,7750,4205,15280,0.085,2009
"4281",1022,"Jefferson State Community College","AL",1,292,1181,35200,32600,6100,17000,48200,64800,3500,2056,10131,0.06,2009
"4282",1013,"John C Calhoun State Community College","AL",1,453,1969,32500,29100,5700,14800,45300,60900,3500,3287,8831,0.104,2009
"4283",1023,"Judson College","AL",2,25,134,33800,31900,6500,18200,45500,60000,9300,169,22549,0.043,2009
"4284",1024,"University of West Alabama","AL",1,95,603,38500,37700,8600,21600,51300,68100,7125,1531,13621,0.072,2009
"4285",1028,"Miles College","AL",2,128,715,29400,26600,5100,13900,41000,54600,8500,1528,14506,0.099,2009
"4286",1029,"University of Mobile","AL",2,116,697,42300,40300,7600,22000,55500,74900,12500,975,26345,0.041,2009
"4287",1004,"University of Montevallo","AL",1,112,689,37300,35000,7400,20600,48300,64800,9500,1145,14663,0.101,2009
"4288",5697,"Northwest-Shoals Community College","AL",1,272,1041,30300,25800,5300,13900,42000,58600,3500,1361,9642,0.145,2009
"4289",1016,"University of North Alabama","AL",1,196,1374,40400,37400,10500,21900,52100,73000,6750,2579,11725,0.089,2009
"4290",1031,"Northeast Alabama Community College","AL",1,123,574,32600,29400,5800,15800,45400,60100,3500,790,6350,0.191,2009
"4291",1033,"Oakwood University","AL",2,74,497,39300,35900,6600,19700,54600,72800,10375,890,30842,0.082,2009
"4292",1036,"Samford University","AL",2,92,608,51700,45900,10300,29300,66200,98200,11625,850,31214,0.005,2009
"4293",1057,"University of South Alabama","AL",1,356,2371,44500,39600,10500,24300,56200,80000,7500,5712,13581,0.046,2009
"4294",1041,"Spring Hill College","AL",2,46,383,48000,41900,11600,27300,63600,85700,14750,668,36565,0.034,2009
"4295",1044,"Stillman College","AL",2,125,695,31000,28500,4800,14100,42900,57800,10125,788,22006,0.056,2009
"4296",1046,"Talladega College","AL",2,46,169,34700,32300,4600,14400,46800,64100,9500,325,15900,0.294,2009
"4297",1047,"Troy University","AL",1,322,2356,42700,39700,10500,24200,54700,75900,7125,11565,13855,0.1,2009
"4298",1050,"Tuskegee University","AL",2,98,846,42000,36200,7900,19900,57900,84500,11500,1430,27570,0.081,2009
"4299",11462,"University of Alaska Anchorage","AK",1,409,1628,42000,38800,6400,19400,58800,79400,5750,4485,12731,0.05,2009
"4300",1063,"University of Alaska Fairbanks","AK",1,252,912,40100,36200,4400,17000,56400,76400,5500,1952,14565,0.066,2009
"4301",1065,"University of Alaska Southeast","AK",1,53,214,38300,35000,6200,15700,52800,77500,5500,632,13302,0.035,2009
"4302",1061,"Alaska Pacific University","AK",2,25,130,48800,45700,14700,26100,63500,89200,9667,247,35594,0.061,2009
"4303",31603,"AVTEC-Alaska's Institute of Technology","AK",1,29,100,31700,20900,3000,7200,47200,72400,5500,166,NA,0.059,2009
"4304",25769,"Charter College-Anchorage","AK",3,105,385,43000,38800,6100,18200,59300,80800,9500,1775,19941,0.102,2009
"4305",11462,"Prince William Sound Community College","AK",1,409,1628,42000,38800,6400,19400,58800,79400,5750,4485,10032,0.05,2009
"4306",25410,"Alaska Career College","AK",3,71,202,31900,30600,4700,12300,44900,57700,5500,635,NA,0.1,2009
"4307",22950,"Everest College-Phoenix","AZ",3,40,199,33800,32400,6200,15600,44200,62100,7389,8563,30261,0.204,2009
"4308",21749,"Collins College","AZ",3,419,1859,34800,31500,5600,16300,47600,64700,18000,1206,47887,NA,2009
"4309",8865,"Empire Beauty School-Tucson","AZ",3,37,115,25900,20900,6300,12100,35800,52800,6332,599,NA,0.098,2009
"4310",23178,"American Institute of Technology","AZ",3,163,476,31400,27700,4000,12700,45900,61800,4304,2038,NA,0.125,2009
"4311",21006,"Carrington College-Phoenix","AZ",3,372,1245,31800,29500,5400,15400,42000,62800,9500,7282,NA,0.088,2009
"4312",10847,"Arizona Automotive Institute","AZ",3,103,366,33700,30800,4600,16100,46100,64900,10333,1877,28167,0.194,2009
"4313",22188,"Brookline College-Phoenix","AZ",3,737,2041,26000,24900,3500,12100,36400,48700,8021.5,4452,NA,0.046,2009
"4314",1081,"Arizona State University-Tempe","AZ",1,1236,8944,54000,47900,12700,30500,70000,96500,9875,19801,17021,0.03,2009
"4315",1071,"Arizona Western College","AZ",1,373,1747,31300,27100,7500,14600,41500,60300,4000,902,13103,0.161,2009
"4316",1083,"University of Arizona","AZ",1,759,5724,54300,45800,12800,29200,70200,97900,10212.5,8886,18008,0.04,2009
"4317",24915,"Southwest University of Visual Arts-Tucson","AZ",3,108,334,27700,25900,4400,13200,38300,52100,17314.5,374,45111,0.117,2009
"4318",7283,"Central Arizona College","AZ",1,201,736,32200,29400,6100,16500,42800,59100,4655,1181,11312,0.133,2009
"4319",9451,"Brown Mackie College-Tucson","AZ",3,122,463,28500,26700,4500,14300,39800,53400,7000,1789,22113,0.126,2009
"4320",1072,"Cochise County Community College District","AZ",1,340,1245,36900,31300,5700,16000,49800,74800,3500,751,7779,0.196,2009
"4321",25827,"Cortiva Institute-Tucson","AZ",3,31,131,29800,26100,4700,13600,40800,57300,8895,293,NA,0.075,2009
"4322",10727,"DeVry University-Arizona","AZ",3,1906,14444,49300,46000,10800,26700,66800,87900,9500,70254,30414,0.102,2009
"4323",1479,"Embry-Riddle Aeronautical University-Prescott","AZ",2,230,3025,64300,61800,20000,40500,83400,107400,6500,4721,41392,0.039,2009
"4324",1076,"Glendale Community College","AZ",1,550,2541,39400,35600,7600,19200,52700,74300,3500,3753,10802,0.106,2009
"4325",1074,"Grand Canyon University","AZ",3,81,609,53600,47900,9600,28500,73400,100700,6417,20901,29860,0.034,2009
"4326",22631,"Anthem College-Phoenix","AZ",3,688,3160,34500,32300,5400,16800,47300,63700,8000,5092,NA,0.085,2009
"4327",25215,"Lamson College","AZ",3,43,161,39000,37100,7800,18700,53400,72600,8237,881,NA,0.304,2009
"4328",20712,"Kaplan College","AZ",3,123,402,30200,29200,4700,13400,41400,55400,7855.5,874,NA,0.155,2009
"4329",8303,"GateWay Community College","AZ",1,379,1114,35300,31300,4700,15800,49000,71400,7202,2371,12718,0.106,2009
"4330",1077,"Mesa Community College","AZ",1,755,3297,40900,36500,6700,19300,54600,77600,4000,6989,12413,0.128,2009
"4331",23611,"ITT Technical Institute-Tucson","AZ",3,109,708,40000,37200,6400,19800,54400,76000,9500,2028,25877,0.132,2009
"4332",20652,"ITT Technical Institute-Tempe","AZ",3,74,373,42100,38900,5200,21000,59300,78200,10500,2518,25436,0.153,2009
"4333",11864,"Mohave Community College","AZ",1,184,483,30100,25500,4800,12600,40000,60100,5227.5,1912,11667,0.157,2009
"4334",21005,"Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division","AZ",3,671,2209,36200,34100,6100,17400,49300,66600,13166,10050,NA,0.051,2009
"4335",1082,"Northern Arizona University","AZ",1,550,4061,45700,42400,10900,26600,59600,80800,9250,8166,16653,0.043,2009
"4336",1937,"Ottawa University-Phoenix","AZ",2,138,1076,49100,44700,11500,28700,60000,87400,9500,2297,NA,0.055,2009
"4337",1078,"Phoenix College","AZ",1,512,1995,36400,33500,5800,16300,48000,68100,5250,2614,12114,0.148,2009
"4338",26238,"Cortiva Institute-Scottsdale","AZ",3,38,165,31700,31000,5100,14000,45300,60100,8332,275,NA,0.084,2009
"4339",20988,"University of Phoenix-Phoenix-Hohokam Campus","AZ",3,4510,36758,65800,59600,15500,37100,86300,117100,4750,402975,25721,0.129,2009
"4340",7266,"Pima Community College","AZ",1,1240,4476,35200,31100,6000,16600,46900,68900,4500,6008,6756,0.131,2009
"4341",22171,"Pima Medical Institute-Tucson","AZ",3,731,2647,31100,29200,4800,15100,41300,58600,7500,11145,NA,0.083,2009
"4342",22171,"Pima Medical Institute-Albuquerque","NM",3,731,2647,31100,29200,4800,15100,41300,58600,7500,11145,NA,0.083,2009
"4343",20653,"Prescott College","AZ",2,77,386,39300,39000,7100,21400,51600,70000,12500,669,33566,0.046,2009
"4344",11689,"Refrigeration School Inc","AZ",3,80,271,41700,41100,7700,19800,57900,72700,8977.5,930,NA,0.131,2009
"4345",21775,"Rio Salado College","AZ",1,196,619,36400,33100,5800,14600,52000,73300,4750,9065,14648,0.127,2009
"4346",8304,"Scottsdale Community College","AZ",1,288,1072,41900,36600,6600,18400,55900,82200,3832,2458,12041,0.108,2009
"4347",21466,"South Mountain Community College","AZ",1,153,595,31000,30000,7900,18700,40000,50500,4400,435,11926,0.165,2009
"4348",4467,"Tucson College","AZ",3,105,297,29400,26400,4700,13700,38700,57500,7265,877,NA,0.346,2009
"4349",8221,"Universal Technical Institute of Arizona Inc","AZ",3,626,5290,45400,43900,10800,26500,60500,79500,11625,11357,NA,0.047,2009
"4350",21715,"Western International University","AZ",3,53,344,60000,54700,12800,33700,81700,106900,6181,1947,26130,0.107,2009
"4351",22203,"Empire Beauty School-NW Phoenix","AZ",3,39,138,21700,18000,3000,8100,33400,45900,6000,488,NA,0.067,2009
"4352",1079,"Yavapai College","AZ",1,240,767,31600,27400,4500,12900,43300,64400,3500,749,8062,0.158,2009
"4353",1101,"University of Arkansas at Little Rock","AR",1,391,2094,39800,35300,8800,21100,52700,72800,7500,5440,19863,0.091,2009
"4354",1109,"University of Arkansas for Medical Sciences","AR",1,30,394,77900,62600,28100,48100,102500,137200,12250,873,NA,0.016,2009
"4355",1088,"Lyon College","AR",2,13,143,48400,38600,13200,28700,58100,85300,12750,222,29024,0.045,2009
"4356",1108,"University of Arkansas","AR",1,398,3101,49300,43800,10500,26600,63600,88900,10750,4948,18461,0.043,2009
"4357",1086,"University of Arkansas at Pine Bluff","AR",1,191,1034,31500,29000,6200,15600,41200,55800,9500,2434,14478,0.173,2009
"4358",1090,"Arkansas State University-Main Campus","AR",1,637,3884,37100,33300,7300,18700,48600,67000,6250,6963,16351,0.107,2009
"4359",1089,"Arkansas Tech University","AR",1,210,1449,39200,36500,8700,21400,50700,70300,6500,3340,13853,0.098,2009
"4360",1085,"University of Arkansas at Monticello","AR",1,122,807,36700,34600,8600,19300,48500,65100,5498,2115,12507,0.147,2009
"4361",31052,"Baptist Health College-Little Rock","AR",2,20,177,43800,41700,11200,23400,58300,78300,8000,630,19189,0,2009
"4362",20522,"Black River Technical College","AR",1,94,388,29300,27300,7900,15800,40100,51400,3500,926,8792,0.121,2009
"4363",1092,"University of Central Arkansas","AR",1,305,2122,42500,38900,9900,24400,54500,75100,9500,4695,17705,0.094,2009
"4364",1093,"Central Baptist College","AR",2,23,165,37800,35100,11900,20900,46100,63300,8500,306,17484,0.096,2009
"4365",12260,"East Arkansas Community College","AR",1,125,463,27500,22800,6200,13200,37200,55400,1750,226,7090,0.214,2009
"4366",22724,"Eastern College of Health Vocations-Little Rock","AR",3,217,784,20900,19200,3800,11300,28300,36700,3500,370,NA,0.146,2009
"4367",12105,"National Park Community College","AR",1,155,586,29100,24600,5200,13500,40200,59300,5500,1064,15860,0.161,2009
"4368",20735,"University of Arkansas Community College-Batesville","AR",1,103,379,28900,25900,4200,12500,37900,59000,4760.5,810,8068,0.185,2009
"4369",1097,"Harding University","AR",2,184,1212,42900,39300,9200,24000,56000,77500,14348,2062,22200,0.029,2009
"4370",1098,"Henderson State University","AR",1,129,1032,39900,37300,9800,23800,49800,68100,7500,1786,14629,0.098,2009
"4371",1099,"Hendrix College","AR",2,31,283,44600,40700,11500,25700,56700,80000,14823,417,37758,0.036,2009
"4372",1100,"John Brown University","AR",2,68,576,54000,46000,10400,27500,73100,1e+05,13916.5,996,28196,0.016,2009
"4373",12860,"Arkansas Northeastern College","AR",1,177,620,26600,22800,5300,13400,35000,51000,4153,407,10918,0.128,2009
"4374",12261,"North Arkansas College","AR",1,194,676,27900,26600,5500,13700,38200,50800,5500,823,9159,0.092,2009
"4375",1102,"Ouachita Baptist University","AR",2,56,449,42900,39000,9900,22800,54800,78500,9876,513,27430,0.066,2009
"4376",9976,"College of the Ouachitas","AR",1,82,255,30100,26100,5400,16600,39300,59400,3500,328,11281,0.099,2009
"4377",20870,"Ozarka College","AR",1,111,278,31400,24700,4900,14500,38400,54800,5250,666,10826,0.139,2009
"4378",1094,"University of the Ozarks","AR",2,24,173,40300,34900,11000,22600,50800,68100,9000.5,250,27672,0.039,2009
"4379",5245,"University of Arkansas Community College-Morrilton","AR",1,135,572,26900,24500,4900,13300,37000,49400,4000,666,10459,0.075,2009
"4380",1103,"Philander Smith College","AR",2,67,314,29700,28200,4300,13800,40100,55500,12500,428,19428,0.139,2009
"4381",1104,"Phillips Community College of the University of Arkansas","AR",1,144,598,25900,22000,4600,13200,34900,50100,3500,258,11891,0.212,2009
"4382",5707,"Southeast Arkansas College","AR",1,129,538,30700,27500,5900,14800,41800,57400,3500,727,12237,0.123,2009
"4383",20753,"Pulaski Technical College","AR",1,284,1204,31100,29200,5100,14500,43100,58300,5500,6452,11941,0.149,2009
"4384",5732,"University of Arkansas Community College-Hope","AR",1,133,531,27000,24300,3700,12000,36900,52700,2625,197,9241,0.117,2009
"4385",1106,"Williams Baptist College","AR",2,38,229,33600,31300,8800,19600,45500,56500,9874,285,18965,0.032,2009
"4386",20746,"South Arkansas Community College","AR",1,80,302,29600,25600,5200,14800,39700,55200,3862,676,9185,0.09,2009
"4387",1107,"Southern Arkansas University Main Campus","AR",1,125,859,39100,35600,8600,22000,50100,69200,6589,1450,14881,0.116,2009
"4388",7738,"Southern Arkansas University Tech","AR",1,60,223,30600,27800,6000,14200,41800,59500,4000,369,10929,0.107,2009
"4389",1110,"University of Arkansas-Fort Smith","AR",1,310,1016,33000,28700,6100,15600,45500,64200,5000,2707,12811,0.108,2009
"4390",7531,"Academy of Art University","CA",3,340,1321,46100,36400,6700,18200,60700,91100,8272,6404,32267,0.055,2009
"4391",21209,"ITT Technical Institute-Rancho Cordova","CA",3,164,687,44800,41800,6000,22900,62500,82900,9500,1668,25460,0.094,2009
"4392",23424,"The Academy of Radio and TV Broadcasting","CA",3,64,248,31200,30900,3500,11600,43800,63200,7700,205,NA,0.294,2009
"4393",6720,"College of Alameda","CA",1,243,579,36400,33200,4500,14500,49300,72000,4500,45,9065,0.053,2009
"4394",1111,"Allan Hancock College","CA",1,380,1273,34400,29900,4900,14400,46300,66800,4500,170,10686,0.142,2009
"4395",21136,"American InterContinental University","CA",3,337,1484,48400,42500,6400,19300,68300,97200,8553,34207,NA,0.123,2009
